7,PA08 (X0),--
8,PA09 (X1),--
9,PA12,--
10,PA13,--
11,PA16 (X4),--
12,PA19 (X7),--
13,PA17 (X5),--
14,PA18 (X6),--
15,GND,--
16,PA20 (X8),--
17,PA21 (X9),--
18,PB02 (Y8),--
19,PB03 (Y9),--
20,PA10,--
21,PA11 (X3),--
22,PA00,--
23,PA01,--
24,GND,--
33,GND,--
34,PA14,--
35,PA15,--
36,PA24,--
37,PA25,--
38,PA23 (X11),--
39,PB23,--
40,PA27,--
41,PA28,--
42,GND,--
43,PA02 (Y0),--
44,PA03 (Y1),--
45,PB08 (Y14),--
46,PB09 (Y15),--
47,PA04 (Y2),--
48,PA05 (Y3),--
49,PA06 (Y4),--
50,PA07 (Y5),--